priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.tempSuspendedSeries,meta.isETFSec,meta.isDelisted,meta.isin,meta.slb_isin,meta.listingDate,meta.isMunicipalBond,meta.isHybridSymbol,meta.quotepreopenstatus.equityTime,meta.quotepreopenstatus.preOpenTime,meta.quotepreopenstatus.QuotePreOpenFlag
0,ALLCARGO,ALLCARGOEQN,27.82,28.11,27.46,27.75,27.26,0.49,1.8,9978599143.47,76.9,26.39,1531442,0,42451572.24,,63.91417425227569,-5.153467222432737,-61.98,10-Apr-2024,https://nsearchives.nseindia.com/365d/ALLCARGO-EQ.svg,12-Mar-2025,-8.03,https://nsearchives.nseindia.com/30d/ALLCARGO-EQ.svg,https://nsearchives.nseindia.com/today/ALLCARGOEQN.svg,EQ,ALLCARGO,Allcargo Logistics Limited,Logistics Solution Provider,['EQ'],[],False,False,True,False,False,[],False,False,INE418H01029,INE418H01029,2006-06-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,NBCC,NBCCEQN,89.0,90.2,86.09,88.57,87.01,1.56,1.79,91452971214.0,139.83,70.8,27133267,0,2395324810.76,,36.65879997139385,-25.09887005649717,-34.68,10-Apr-2024,https://nsearchives.nseindia.com/365d/NBCC-EQ.svg,12-Mar-2025,12.63,https://nsearchives.nseindia.com/30d/NBCC-EQ.svg,https://nsearchives.nseindia.com/today/NBCCEQN.svg,EQ,NBCC,NBCC (India) Limited,Civil Construction,['EQ'],[],True,False,True,False,False,['BE'],False,False,INE095N01031,INE095N01031,2012-04-12,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,TBOTEK,TBOTEKEQN,1051.05,1094.7,1038.7,1069.25,1050.45,18.8,1.79,27613844643.93,2001.0,996.0,526228,0,555786226.76,,46.564217891054476,-7.354417670682731,-,-,-,12-Mar-2025,-15.01,https://nsearchives.nseindia.com/30d/TBOTEK-EQ.svg,https://nsearchives.nseindia.com/today/TBOTEKEQN.svg,EQ,TBOTEK,TBO Tek Limited,Tour Travel Related Services,['EQ'],[],False,False,True,False,False,[],False,False,INE673O01025,INE673O01025,2024-05-15,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,HATHWAY,HATHWAYEQN,13.1,13.14,12.95,13.05,12.82,0.23,1.79,5774965931.25,25.66,11.94,1933757,0,25216191.28,,49.14263445050663,-9.296482412060312,-39.91,10-Apr-2024,https://nsearchives.nseindia.com/365d/HATHWAY-EQ.svg,12-Mar-2025,-2.54,https://nsearchives.nseindia.com/30d/HATHWAY-EQ.svg,https://nsearchives.nseindia.com/today/HATHWAYEQN.svg,EQ,HATHWAY,Hathway Cable & Datacom Limited,TV Broadcasting & Software Production,['EQ'],[],False,False,False,False,False,['IL'],False,False,INE982F01036,,2010-02-25,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,NLCINDIA,NLCINDIAEQN,229.5,231.85,227.97,229.0,224.99,4.01,1.78,74505947092.37,311.8,186.03,1193137,0,274314127.67,,26.555484284797952,-23.098424985217438,-4.68,10-Apr-2024,https://nsearchives.nseindia.com/365d/NLCINDIA-EQ.svg,12-Mar-2025,0.08,https://nsearchives.nseindia.com/30d/NLCINDIA-EQ.svg,https://nsearchives.nseindia.com/today/NLCINDIAEQN.svg,EQ,NLCINDIA,NLC India Limited,Power Generation,['EQ'],[],False,False,True,False,False,[],False,False,INE589A01014,INE589A01014,2000-08-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,ABB,ABBEQN,5149.5,5173.95,5052.05,5125.15,5036.2,88.95,1.77,268015173536.01,9149.95,4684.45,416323,0,2130303974.85,,43.987125612708276,-9.407721290653116,-22.56,10-Apr-2024,https://nsearchives.nseindia.com/365d/ABB-EQ.svg,12-Mar-2025,0.07,https://nsearchives.nseindia.com/30d/ABB-EQ.svg,https://nsearchives.nseindia.com/today/ABBEQN.svg,EQ,ABB,ABB India Limited,Heavy Electrical Equipment,['EQ'],[],True,False,True,False,False,[],False,False,INE117A01022,INE117A01022,1995-02-08,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,ANANDRATHI,ANANDRATHIEQN,1820.0,1837.65,1735.85,1800.0,1768.75,31.25,1.77,66758651836.84,2323.0,1594.0,359645,0,644645680.25,,22.51399052948773,-12.923462986198244,-53.92,10-Apr-2024,https://nsearchives.nseindia.com/365d/ANANDRATHI-EQ.svg,12-Mar-2025,8.93,https://nsearchives.nseindia.com/30d/ANANDRATHI-EQ.svg,https://nsearchives.nseindia.com/today/ANANDRATHIEQN.svg,EQ,ANANDRATHI,Anand Rathi Wealth Limited,Financial Products Distributor,['EQ'],[],False,False,True,False,False,[],False,False,INE463V01026,INE463V01026,2021-12-14,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,FINCABLES,FINCABLESEQN,874.05,885.65,865.0,872.0,856.9,15.1,1.76,65825896713.68,1700.0,780.0,232921,0,204003857.85,,48.705882352941174,-11.794871794871796,-12.57,10-Apr-2024,https://nsearchives.nseindia.com/365d/FINCABLES-EQ.svg,12-Mar-2025,9.89,https://nsearchives.nseindia.com/30d/FINCABLES-EQ.svg,https://nsearchives.nseindia.com/today/FINCABLESEQN.svg,EQ,FINCABLES,Finolex Cables Limited,Cables - Electricals,['EQ'],[],False,False,True,False,False,[],False,False,INE235A01022,INE235A01022,1995-02-15,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SAREGAMA,SAREGAMAEQN,520.0,532.8,519.1,521.35,512.35,9.0,1.76,39344008487.14,688.9,369.2,355245,0,187373975.25,,24.321381913194944,-41.210725893824495,32.77,10-Apr-2024,https://nsearchives.nseindia.com/365d/SAREGAMA-EQ.svg,12-Mar-2025,9.41,https://nsearchives.nseindia.com/30d/SAREGAMA-EQ.svg,https://nsearchives.nseindia.com/today/SAREGAMAEQN.svg,EQ,SAREGAMA,Saregama India Limited,Media & Entertainment,['EQ'],[],False,False,True,False,False,[],False,False,INE979A01025,INE979A01025,1997-07-30,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,STARCEMENT,STARCEMENTEQN,220.0,221.5,217.42,221.0,217.18,3.82,1.76,18561956371.02,256.0,171.55,264345,0,58108317.9,,13.671875,-28.82541533080734,-4.35,10-Apr-2024,https://nsearchives.nseindia.com/365d/STARCEMENT-EQ.svg,12-Mar-2025,7.4,https://nsearchives.nseindia.com/30d/STARCEMENT-EQ.svg,https://nsearchives.nseindia.com/today/STARCEMENTEQN.svg,EQ,STARCEMENT,Star Cement Limited,Cement & Cement Products,['EQ'],[],False,False,True,False,False,[],False,False,INE460H01021,INE460H01021,2017-06-16,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
